BuildingOccupancy,Bengkulu,Cilegon,Gorontalo
Government,0.5843,0.3313,0.5617
School,1.7948,0.2297,1.0378
Hospital,2.7638,0.3633,1.7261
Health Facility (Puskesmas),1.1860,0.4944,1.8268
Sport Facility,3.3286,0.2452,1.0350
University,2.2100,0.4675,0.8118
Railway Station,0.0000,0.1930,0.0000
Bus Station,0.0000,0.3461,0.1329
Port,0.0000,0.0000,0.2244
Office,0.0000,0.1315,1.3631
Emergency Response,1.3770,0.4967,0.8577
Religious Gathering,2.3886,0.6357,1.4230
Mixed-use,0.0000,0.3505,0.0000
Public Building,2.0097,0.0000,1.5080
