BuildingOccupancy,Bengkulu,Cilegon,Gorontalo
Government,0.0008,0.0002,0.0004
School,0.0020,0.0002,0.0012
Hospital,0.0203,0.0026,0.0044
Health Facility (Puskesmas),0.0061,0.0031,0.0127
Sport Facility,0.0005,0.0001,0.0008
University,0.0054,0.0006,0.0011
Railway Station,0.0000,0.0001,0.0000
Bus Station,0.0000,0.0008,0.0000
Port,0.0000,0.0000,0.0002
Office,0.0000,0.0001,0.0011
Emergency Response,0.0034,0.0015,0.0014
Religious Gathering,0.0017,0.0004,0.0013
Mixed-use,0.0000,0.0003,0.0000
Public Building,0.0032,0.0000,0.0028
