BuildingOccupancy,Bengkulu,Cilegon,Gorontalo
Government,0.00000,0.00000,0.00000
School,0.00331,0.00030,0.00197
Hospital,0.00802,0.00104,0.00172
Health Facility (Puskesmas),0.00242,0.00121,0.00502
Sport Facility,0.00013,0.00002,0.00021
University,0.00047,0.00000,0.00000
Railway Station,0.00000,0.00003,0.00000
Bus Station,0.00000,0.00017,0.00001
Port,0.00000,0.00000,0.00003
Office,0.00000,0.00000,0.00000
Emergency Response,0.00000,0.00000,0.00000
Religious Gathering,0.00043,0.00011,0.00032
Mixed-use,0.00000,0.00003,0.00000
Public Building,0.00066,0.00000,0.00047
