BuildingOccupancy,Bengkulu,Cilegon,Gorontalo
Government,0.0037,0.0020,0.0031
School,0.0143,0.0012,0.0072
Hospital,0.0347,0.0032,0.0178
Health Facility (Puskesmas),0.0092,0.0041,0.0190
Sport Facility,0.0398,0.0016,0.0091
University,0.0233,0.0032,0.0060
Railway Station,0.0000,0.0008,0.0000
Bus Station,0.0000,0.0028,0.0001
Port,0.0000,0.0000,0.0015
Office,0.0000,0.0009,0.0122
Emergency Response,0.0119,0.0037,0.0049
Religious Gathering,0.0273,0.0067,0.0142
Mixed-use,0.0000,0.0021,0.0000
Public Building,0.0219,0.0000,0.0159
