BuildingOccupancy,Bengkulu,Cilegon,Gorontalo
Government," $151,875.00 "," $96,906.00 "," $149,739.00 "
School," $736,334.00 "," $96,209.00 "," $371,707.00 "
Hospital/Health Facility (Hospital)," $1,477,920.00 "," $427,598.00 "," $217,990.00 "
Hospital/Health Facility (Puskesmas)," $127,538.00 "," $36,173.00 "," $94,306.00 "
Sport Facility," $400,665.00 "," $164,589.00 ", $339.00 
University," $388,390.00 "," $119,733.00 "," $93,559.00 "
Railway Station,, $504.00 ,
Bus Station,," $56,177.00 "," $6,571.00 "
Port,,," $38,174.00 "
Office,, $880.00 ," $42,500.00 "
Emergency Response," $150,235.00 "," $79,719.00 "," $2,986.00 "
Religious Gathering," $94,793.00 "," $28,566.00 "," $41,768.00 "
Mixed-use,," $39,946.00 ",
Public Building," $36,758.00 ",," $28,775.00 "
